dataset,seed,method,valid_for_main_table,threshold,K,noise_strength,num_steps,guidance_scale,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.771777331829071,0.6283692121505737,0.9675483703613281,0.7351903915405273,0.9862890243530273,0.8607396968811044,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.38385334610939026,0.23751145601272583,0.9397354125976562,0.24783441424369812,0.9964381456375122,0.8599797025134158,447.00524996733293,2.2371101907037554
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.38698631525039673,0.23991507291793823,0.939910888671875,0.25412726402282715,0.9952221512794495,0.8833386748011254,447.00524996733293,2.2371101907037554
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.20314565300941467,0.11305626481771469,0.9286842346191406,0.12001410126686096,0.9949564337730408,0.7641061303988599,1123.839650012087,0.8898066552370214
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.22253994643688202,0.12520109117031097,0.929473876953125,0.13524150848388672,0.9935320019721985,0.7855644321980054,1123.839650012087,0.8898066552370214
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.999829113483429,0.9996582269668579,0.9999732971191406,0.999804675579071,0.9999876022338867,0.9999999549409158,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998247623443604,0.9996495842933655,0.9999732971191406,0.999699592590332,0.9999958872795105,0.999999995658559,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7711458206176758,0.6275323629379272,0.9657745361328125,0.7381219863891602,0.9850661158561707,0.8615940412582009,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7498801946640015,0.5998466610908508,0.9621696472167969,0.7442675232887268,0.9801420569419861,0.8622047983930086,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.40307411551475525,0.2524062693119049,0.9377784729003906,0.26890960335731506,0.9944592714309692,0.8763084430377308,505.68840000778437,1.9775023512198548
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.41192910075187683,0.25938960909843445,0.938995361328125,0.28041455149650574,0.9933146238327026,0.8824314228350678,505.68840000778437,1.9775023512198548
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.20635896921157837,0.11505032330751419,0.9262046813964844,0.12280873209238052,0.9942854642868042,0.7777472991127795,1185.001400008332,0.8438808595441059
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.1994573175907135,0.11077622324228287,0.9268455505371094,0.11960548907518387,0.9934260845184326,0.7734423294073848,1185.001400008332,0.8438808595441059
